cluster,n,log_n_unique_voters_mean,log_n_unique_voters_std,mean_robust_participation_vp_mean,mean_robust_participation_vp_std,std_robust_participation_vp_mean,std_robust_participation_vp_std,gini_voting_power_mean,gini_voting_power_std,whale_ratio_top1pct_mean,whale_ratio_top1pct_std,proposal_frequency_per_30d_mean,proposal_frequency_per_30d_std,repeat_voter_rate_mean,repeat_voter_rate_std,z_rep_pct_for_votes_mean,z_rep_pct_for_votes_std,z_rep_pct_against_votes_mean,z_rep_pct_against_votes_std,z_rep_pct_abstain_votes_mean,z_rep_pct_abstain_votes_std,z_rep_choice_entropy_mean,z_rep_choice_entropy_std,z_rep_pct_aligned_with_majority_mean,z_rep_pct_aligned_with_majority_std
0,104,7.252578545313666,1.3239965442399189,0.37764427494844327,0.1469584998291534,0.3238962114680635,0.050156152754351736,0.6569898921969561,0.2325582445368493,0.4482657015439201,0.2124694891120773,1.4517534844954258,0.8905985338231255,0.5828909638214796,0.18466127752311123,-0.45702113992688764,0.42835415203374033,0.3533517919274792,0.42621708503166034,0.23317946262735872,0.2834724432668831,0.08316241260256794,0.3384842783446789,-0.33522008200149345,0.32823466030176524
1,69,6.70201073872162,1.8216320740961447,0.24688167680834963,0.17046319458946538,0.32026560079035776,0.03752429263449143,0.1619577781690856,0.21205634341459775,0.8391862956647577,0.17933136366393654,2.77343243692099,1.0784999840709142,0.5369689733397559,0.22916617384119473,-0.01650669184844644,0.3885376589490497,0.21160617379776483,0.48238068296813463,-0.11130852756427778,0.1256048100310421,-0.26286037357091474,0.26257394779823884,0.049171522922231224,0.29156124672850386
2,171,7.13871125998354,1.4577226542452784,0.4253129352444002,0.15693274032837787,0.3187642443787637,0.05868944341938177,0.7493673903697189,0.16598522523150527,0.47256124765004437,0.19483633620290064,1.0318716424554193,0.5975760030121284,0.5648690107757776,0.186457488798394,0.26572692546185206,0.24942812065078515,-0.21425620953660282,0.19139825898497542,-0.09489924405118107,0.11362733714823774,-0.3420316646355864,0.21219213776618148,0.2349631584343153,0.1717004447570078
3,33,6.978120994469378,1.2884337897370712,0.42797813955312386,0.17185066361553267,0.307896964778158,0.04682654093715837,0.7361287861901309,0.1661011289672726,0.46770574054978525,0.19207750696602588,1.3678626455253973,0.7272986381504343,0.6425885550698163,0.15509528028419806,-2.0306592426452186,0.5273046886815306,-0.4125658135090115,0.14083353941664437,-0.09027268455365386,0.17258441463461807,-0.4728738821671847,0.21930983118818387,0.3911564195184027,0.2514137973999376
