,precision,recall,f1-score,support
For(0),0.994231421784866,0.9460768485631256,0.9695565850430179,3097.0
Against(1),0.8485804416403786,0.7685714285714286,0.8065967016491754,700.0
Abstain(2),0.2883116883116883,0.6568047337278107,0.4007220216606498,169.0
accuracy,0.9024205748865356,0.9024205748865356,0.9024205748865356,0.9024205748865356
macro avg,0.7103745172456444,0.7904843369541217,0.725625102784281,3966.0
weighted avg,0.9384431915634571,0.9024205748865356,0.9165548302302821,3966.0
