,log_n_unique_voters,log_total_votes,log_n_proposals,log_mean_sum_vp,log_mean_n_voters,log_n_voters_in_dao
log_n_unique_voters,1.0,0.9199642323798722,0.24556182554487013,0.2007661112665513,0.8064920145979054,1.0
log_total_votes,0.9199642323798722,1.0,0.4148983235621338,0.24089544611296912,0.7648112376287053,0.9199642323798722
log_n_proposals,0.24556182554487013,0.4148983235621338,1.0,-0.1501816265198127,-0.2596402416522666,0.2455618255448701
log_mean_sum_vp,0.2007661112665513,0.24089544611296912,-0.1501816265198127,1.0,0.35278395230484144,0.2007661112665513
log_mean_n_voters,0.8064920145979054,0.7648112376287053,-0.2596402416522666,0.35278395230484144,1.0,0.8064920145979054
log_n_voters_in_dao,1.0,0.9199642323798722,0.2455618255448701,0.2007661112665513,0.8064920145979054,1.0
