drop_reason
prefer_robust_or_z:mean_participation_vp
prefer_robust_or_z:std_participation_vp
prefer_robust_or_z:raw_rep_total_votes
prefer_robust_or_z:raw_rep_avg_voting_power
prefer_robust_or_z:raw_rep_median_voting_power
prefer_robust_or_z:raw_rep_max_voting_power
prefer_robust_or_z:raw_rep_voting_power_std
prefer_robust_or_z:raw_rep_pct_for_votes
prefer_robust_or_z:raw_rep_pct_against_votes
prefer_robust_or_z:raw_rep_pct_abstain_votes
prefer_robust_or_z:raw_rep_pct_aligned_with_majority
prefer_robust_or_z:raw_rep_is_whale_ratio
prefer_robust_or_z:raw_rep_active_duration_days
prefer_robust_or_z:raw_rep_avg_days_between_votes
prefer_robust_or_z:raw_rep_choice_entropy
replaced_by_log:n_unique_voters
replaced_by_log:total_votes
replaced_by_log:n_proposals
replaced_by_log:mean_sum_vp
replaced_by_log:mean_n_voters
replaced_by_log:n_voters_in_dao
high_corr:log_n_voters_in_dao
high_corr:log_total_votes
high_corr:mean_participation_count
high_corr:median_voters_per_proposal
