rank_1based,id,name,network,symbol,private,created,proposalsCount,followersCount,cum_followers,cum_coverage,is_selected
287,seamlessprotocol.eth,Seamless,8453,SEAM,False,1701300748,21,611,4092996,0.9442558596750907,True
288,brightdao888.eth,kk club,1,VOTE,False,1689906848,105,611,4093607,0.9443968176262496,True
289,richroad.levdeviatkin.eth,RichBest,1,VOTE,False,1702157068,25,606,4094213,0.9445366220753532,True
290,dfkvote.eth,DeFi Kingdoms,53935,VOTES,False,1645211150,16,604,4094817,0.9446759651236346,True
291,strayshot.eth,StrayShot,1,VOTE,False,1695818531,41,589,4095406,0.9448118476657502,True
292,boringsecurity.eth,Boring Security,1,BoringSEC,False,1671883798,37,588,4095994,0.9449474995074546,True
293,tracer.eth,Tracer,1,TCR,False,1614724534,46,588,4096582,0.9450831513491591,True
294,nibajie.eth,nibajie,137,MATIC,False,1686727040,318,587,4097169,0.9452185724904525,True
295,pickle.eth,PICKLE,1,DILL,False,1620627980,51,582,4097751,0.9453528401296906,True
296,polygondaoo.eth,polygon,137,matic,False,1650292694,325,581,4098332,0.9454868770685175,True
297,meiridi.eth,Matic guild,1,MATIC,False,1689394698,168,577,4098909,0.9456199912057003,True
298,53231323.eth,LensProtocol,137,MATIC,False,1660017968,20,566,4099475,0.9457505676383614,True
299,zkaptos.eth,Aptos  ECO  ,1,✺SYNG,False,1674546391,15,563,4100038,0.9458804519697893,True
300,hubbleexchange.eth,Hubble Exchange,43114,HSC,False,1639576708,28,562,4100600,0.9460101056008061,True
301,rugcommunity.eth,RugDAO,1,RDAO,False,1649823363,25,558,4101158,0.9461388364301787,True
302,genesisblocks.eth,Genesis Blocks,1,GEN,False,1632923026,63,548,4101706,0.9462652602554408,True
303,721nftdao.eth,Club721 DAO,1,721DAO,False,1634873177,22,546,4102252,0.9463912226798805,True
304,xwg.eth,X World Games,56,XWG,False,1631603305,11,544,4102796,0.9465167237034983,True
305,botto.eth,Botto,1,BOTTO,False,1645454951,94,543,4103339,0.9466419940267049,True
306,551111155.eth,Mr. Scrudge,137,SCRG,False,1706672390,15,541,4103880,0.9467668029490895,True
307,toniya.eth,Klaytn Dex,1001,KDEX,False,1668766072,534,541,4104421,0.9468916118714741,True
308,blockchainminers.eth,Blockchain Miners Club,1,VOTES,False,1638902998,18,537,4104958,0.9470154979922143,True
309,iotexlab.eth,IoTeXLab Delegate,4689,LABT,True,1630878985,24,537,4105495,0.9471393841129546,True
310,superfluid.eth,Superfluid,8453,SUP,False,1736929985,11,534,4106029,0.9472625781324617,True
311,mainnet.ssvnetwork.eth,ssv.network,1,SSV,False,1624445201,113,530,4106559,0.9473848493503245,True
312,hundredfinance.eth,Hundred Finance,10,veHND,False,1641827702,18,529,4107088,0.9475068898677763,True
313,muxvote.eth,MUX,1,veMux,False,1670993405,22,525,4107613,0.9476280075835839,True
314,kudasaijp.eth,Kudasai,1,MK,False,1646437178,27,524,4108137,0.9477488945989804,True
315,council.bibliotheca.eth,Bibilotheca DAO,1,BIBLIO,False,1641945213,50,524,4108661,0.9478697816143768,True
316,harmony-mainnet.eth,Harmony Mainnet,1666600000,ONE,False,1642009536,20,523,4109184,0.9479904379293623,True
317,vote.hopr.eth,HOPR Association Governance,1,HOPR,False,1653578409,29,523,4109707,0.9481110942443477,True
318,stakewise.eth,StakeWise,1,SWISE,False,1618991843,155,521,4110228,0.9482312891585111,True
319,pool.berkut.eth,berkut community,137,VOTE,False,1691750947,81,519,4110747,0.9483510226718522,True
320,gasdao.eth,Gas DAO,1,GAS,False,1640752297,18,519,4111266,0.9484707561851934,True
321,floki-inu.eth,Floki,1,FLOKI,False,1636321491,20,518,4111784,0.9485902589981234,True
322,79798.eth,kmclub,1,VOTE,False,1691311482,48,518,4112302,0.9487097618110536,True
323,orbapp.eth,Orb,1,VOTE,False,1685631696,479,514,4112816,0.9488283418223394,True
324,xtarot.eth,Tarot,250,xTAROT,False,1635874384,35,509,4113325,0.94894576833157,True
325,skvlldao.eth,SkvllpvnkzDAO,1,SKVLLZ,False,1631785098,11,508,4113833,0.9490629641403895,True
326,cccdd.eth,zkSync DAO,1,USDC,False,1698043480,44,508,4114341,0.949180159949209,True
327,💿💿💿💿💿💿💿💿💿💿.eth,fdgdfgfdgsgds,1,VOTE,False,1670975334,16,507,4114848,0.9492971250576174,True
328,qhsky.eth,qhsky,1,ETH,False,1636357614,289,506,4115354,0.9494138594656149,True
329,fortressdao.eth,Fortress DAO,43114,sFORT,False,1637362854,22,506,4115860,0.9495305938736122,True
330,posttechdao.eth,Post Tech DAO,1,vePOST,False,1702979775,15,506,4116366,0.9496473282816096,True
331,level-finance.eth,Level Finance,56,LGO,False,1672296113,28,503,4116869,0.9497633705883737,True
332,partydao.eth,PartyDAO,1,PARTY,True,1620356009,14,499,4117368,0.9498784900934937,True
333,biteren.eth,poly dao,137,MATIC,False,1637379929,341,498,4117866,0.9499933788982026,True
334,wdswap.eth,WdDao,137,MATIC,False,1637759076,404,498,4118364,0.9501082677029113,True
335,gramdao.eth,GRAM DAO,1,sGRAM,False,1689923857,32,494,4118858,0.950222233705976,True
336,linkstar.eth,StarCrazy,4689,GFS,False,1628581377,22,492,4119350,0.9503357383082185,True
337,svs.eth,Sneaky Vampire Syndicate,1,SVS,False,1633468062,94,492,4119842,0.9504492429104611,True
338,51588.eth,matic c,137,MATIC,False,1637397298,42,490,4120332,0.9505622861118814,True
339,yearn,yearn.finance (archive),1,YFI,False,1620456826,16,489,4120821,0.9506750986128907,True
340,halloweenbearsdao.eth,HalloweenBearsDAO,1,HBEARS,False,1634175607,29,486,4121307,0.9507872190126668,True
341,ethlizards.eth,Ethlizards,1,LIZARD,False,1645270273,43,479,4121786,0.9508977245095656,True
342,poktdao.eth,POKT Network,100,POKTDAO,False,1677339508,119,478,4122264,0.9510079993060532,True
343,freerossdao.eth,FreeRossDAO,1,FREE,False,1639777302,18,477,4122741,0.9511180434021297,True
344,leukosedu.eth,leukosedudao,5,EDUDao,True,1673080381,44,477,4123218,0.9512280874982063,True
345,0vix-protocol.eth,0VIX Protocol,137,preVIX,False,1684080911,13,477,4123695,0.9513381315942828,True
346,fantohmdao.eth,FHM DAO,250,sFHM,False,1636156588,35,469,4124164,0.9514463300870709,True
347,voltagefinance.eth,Voltage Finance,122,VOLT,False,1644179106,13,468,4124632,0.951554297879448,True
348,dapang1.eth,pylygon1,137,matic,False,1650340770,313,464,4125096,0.9516613428701807,True
349,figure1.eth,AntCaveDAO,1,AC,False,1687742745,369,462,4125558,0.9517679264600913,True
350,briwanbriwan333999.eth,33333,137,matic,False,1687848490,77,458,4126016,0.9518735872483578,True
351,futera.eth,Futera United,1,FU,False,1643714442,341,458,4126474,0.9519792480366241,True
352,kcc.eth,kcc-community,321,KCS,False,1627959361,13,454,4126928,0.9520839860232463,True
353,dogelondao.eth,Dogelon DAO,1,ELON,False,1624150632,21,454,4127382,0.9521887240098684,True
354,dao.connext.eth,Everclear,1,NEXT,False,1693407792,72,453,4127835,0.9522932312960796,True
355,vnetwork.eth,vision network,888888,Powers,False,1646296818,17,449,4128284,0.9523968157806464,True
