space,strategies_str,n_strategies,strategy_class
0xmetamask.eth,erc20-balance-of|erc721,7,multi_other
morpho.eth,morpho-delegation,1,delegation
golflinks.eth,erc721-with-tokenid-range-weights-simple,1,other_single
cream-finance.eth,erc20-balance-of,1,simple_erc20
nftearthl2.eth,erc20-balance-of,4,multi_other
babydogevote.eth,erc20-balance-of,1,simple_erc20
theheaddao.eth,mutant-cats-stakers-and-holders,1,other_single
zwei02.eth,erc20-balance-of|eth-balance,2,multi_other
bullsontheblock.eth,delegation|erc721-enumerable,6,multi_delegation
moonwell-governance.eth,contract-call|erc20-balance-of,7,multi_other
insuretoken.eth,api-post|erc20-balance-of,4,multi_other
streamr.eth,erc20-balance-of|streamr,4,multi_other
tokenlon.eth,tokenlon,1,other_single
rocketpool-dao.eth,rocketpool-node-operator-delegate-v8,1,other_single
zlexdl.eth,erc20-balance-of|ticket,2,multi_other
livelabs.eth,erc20-balance-of,1,simple_erc20
optimismio.eth,erc20-balance-of|erc721,7,multi_other
alchemistcoin.eth,crucible-erc20-token-and-lp-weighted|erc20-token-and-lp-weighted,2,multi_wrapper_lp
lifedog.eth,erc20-balance-of,1,simple_erc20
eth6888.eth,eth-balance,1,other_single
vapornodes.eth,contract-call,1,other_single
zirouziyu.eth,erc20-balance-of,1,simple_erc20
bioxyz.eth,erc20-balance-of,3,multi_other
•8099.eth,erc20-balance-of,1,simple_erc20
opencampusdao.eth,erc20-balance-of|with-delegation,2,multi_delegation
kwenta.eth,erc1155-balance-of,1,other_single
pangolindex.eth,contract-call,3,multi_other
glmrapes.eth,erc721,1,other_single
poolpool.pooltogether.eth,erc20-balance-of,1,simple_erc20
spartacusdao.eth,erc20-balance-of,2,multi_other
aurafinance.eth,delegation-with-overrides|erc20-balance-of,3,multi_delegation
kopio.eth,eth-balance,1,other_single
yequ.eth,eth-balance,1,other_single
nation3.eth,nation3-passport-coop-with-delegations,1,delegation
grayboys.eth,erc721,1,other_single
zerozero.eth,erc20-balance-of,1,simple_erc20
polymon.eth,api-post,1,other_single
supported.eth,erc20-balance-of,1,simple_erc20
instadapp-gov.eth,comp-like-votes|erc20-balance-of,2,multi_other
gmdao.eth,delegation|erc721,4,multi_delegation
stp.eth,erc20-balance-of,1,simple_erc20
koba777.eth,ticket,1,other_single
polyhedragovernance.eth,erc20-balance-of,2,multi_other
extradao.eth,erc20-balance-of,1,simple_erc20
richroad.eth,whitelist,1,other_single
hypergptdao.eth,erc20-balance-of-weighted,1,other_single
kogecoin.eth,erc20-balance-of|erc20-balance-of-coeff|masterchef-pool-balance|masterchef-pool-balance-price,8,multi_other
symbiosisdao.eth,erc20-balance-of,3,multi_other
dinero.xyz,erc20-balance-of-weighted,2,multi_other
fabien.eth,ticket,1,other_single
lyra.eth,aave-governance-power|erc20-balance-of,3,multi_other
vaultcraft-snapshot.eth,delegation|erc20-balance-of-weighted,3,multi_delegation
ethos-labs.eth,contract-call,1,other_single
xec666.eth,erc20-balance-of,1,simple_erc20
mstablegovernance.eth,mstable,1,other_single
meritcircle.eth,erc20-balance-of|erc20-balance-of-weighted,3,multi_other
brightdao688.eth,ticket,1,other_single
boboat321.eth,eth-balance,1,other_single
krausehouse.eth,erc20-balance-of,1,simple_erc20
metaverse-pro.eth,erc20-balance-of,1,simple_erc20
9679999.eth,whitelist,1,other_single
sidusheroesdao.eth,balance-of-with-min,1,other_single
pushdao.eth,push-voting-power,1,other_single
liberofinancial.eth,erc20-balance-of,1,simple_erc20
conic-dao.eth,erc20-balance-of|erc20-balance-of-delegation,2,multi_delegation
safedoor.eth,erc20-balance-of,1,simple_erc20
binance868dashi.eth,eth-balance,2,multi_other
black369hole.eth,erc20-balance-of,1,simple_erc20
coincollect.app,erc20-balance-of|erc721-with-multiplier,5,multi_other
assangedao.eth,erc20-balance-of,1,simple_erc20
venus-xvs.eth,comp-like-votes,1,other_single
bosondao.eth,erc20-balance-of|uniswap-v3|uniswap-v3-staking,3,multi_wrapper_lp
matic.joints.eth,eth-balance,1,other_single
aladdindao.eth,contract-call|erc20-balance-of,5,multi_other
161610.eth,erc20-balance-of,1,simple_erc20
pantherprotocol.eth,erc20-balance-of,5,multi_other
5552.eth,ticket,1,other_single
foundersdao.eth,delegation|erc721,2,multi_delegation
xborg.eth,erc20-balance-of,1,simple_erc20
pancakebunny.eth,erc20-balance-of|sunrisegaming-univ2-lp|unipool-univ2-lp,5,multi_wrapper_lp
btcismylove.eth,eth-balance,1,other_single
mozaicfinance.eth,erc20-balance-of,1,simple_erc20
liquiddriver.eth,erc20-balance-of,1,simple_erc20
awsbcommunity.eth,erc20-balance-of,1,simple_erc20
sdao.eth,multichain,1,other_single
origingov.eth,with-delegation,1,delegation
superraredao.eth,contract-call|delegation|erc20-balance-of,5,multi_delegation
dopedao.eth,erc721,1,other_single
apeswap-finance.eth,erc20-votes,2,multi_delegation
blid.eth,multichain,1,other_single
0035666.eth,eth-balance,1,other_single
1213.eth,ticket,1,other_single
gro.xyz,delegation|erc20-balance-of,2,multi_delegation
10b57e6da0.eth,erc721,1,other_single
jpeg’d.eth,contract-call|erc20-balance-of|jpegd-locked-jpeg-of|uniswap,8,multi_wrapper_lp
apolloxdao.eth,contract-call,1,other_single
ppyaa.eth,erc721|eth-balance,2,multi_other
zhulindong.eth,ticket,1,other_single
hi.mochilittlesister.eth,erc721,1,other_single
mendifinance.eth,erc20-balance-of,2,multi_other
compgov.eth,erc20-balance-of,1,simple_erc20
✓✓✓✓✓.eth,eth-balance,1,other_single
dapang.eth,ticket,1,other_single
wumingqi.eth,eth-with-balance,1,other_single
forgottengov.eth,with-delegation,1,delegation
gnars.eth,delegation|erc721,2,multi_delegation
romerocpa.eth,eth-balance,1,other_single
magpiexyz.eth,contract-call,2,multi_other
goldfinch.eth,with-delegation,1,delegation
seamlessprotocol.eth,erc20-votes,1,delegation
brightdao888.eth,ticket,1,other_single
richroad.levdeviatkin.eth,whitelist,1,other_single
dfkvote.eth,contract-call|erc20-votes|erc721-with-multiplier,5,multi_delegation
strayshot.eth,ticket,1,other_single
boringsecurity.eth,erc1155-balance-of-ids|erc1155-with-multiplier,2,multi_other
tracer.eth,contract-call|multichain,2,multi_other
nibajie.eth,contract-call,1,other_single
pickle.eth,erc20-balance-of,1,simple_erc20
polygondaoo.eth,ticket,1,other_single
meiridi.eth,erc20-balance-of,1,simple_erc20
53231323.eth,erc20-balance-of,1,simple_erc20
zkaptos.eth,erc20-balance-of|erc721,2,multi_other
hubbleexchange.eth,erc721,1,other_single
rugcommunity.eth,erc20-balance-of,1,simple_erc20
genesisblocks.eth,erc721,1,other_single
721nftdao.eth,erc1155-balance-of,1,other_single
xwg.eth,erc20-balance-of,1,simple_erc20
botto.eth,botto-dao|botto-dao-base,2,multi_other
551111155.eth,ticket,1,other_single
toniya.eth,erc20-balance-of,1,simple_erc20
blockchainminers.eth,erc721|erc721-with-multiplier,2,multi_other
iotexlab.eth,xrc20-balance-of,1,other_single
superfluid.eth,delegation|erc20-balance-of|fountainhead,3,multi_delegation
mainnet.ssvnetwork.eth,split-delegation,1,delegation
hundredfinance.eth,multichain,1,other_single
muxvote.eth,erc20-balance-of,1,simple_erc20
kudasaijp.eth,with-delegation,2,multi_delegation
council.bibliotheca.eth,contract-call|erc721,3,multi_other
harmony-mainnet.eth,harmony-staking,1,wrapper_lp_nft
vote.hopr.eth,hopr-stake-and-balance-qv,1,other_single
stakewise.eth,delegation|erc20-balance-of,5,multi_delegation
pool.berkut.eth,erc20-balance-of,3,multi_other
gasdao.eth,erc20-balance-of,1,simple_erc20
floki-inu.eth,floki,2,multi_other
79798.eth,ticket,1,other_single
orbapp.eth,api-post,1,other_single
xtarot.eth,contract-call|masterchef-pool-balance|yearn-vault,4,multi_other
