space,log_n_unique_voters,mean_robust_participation_vp,std_robust_participation_vp,gini_voting_power,whale_ratio_top1pct,proposal_frequency_per_30d,repeat_voter_rate,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_choice_entropy,z_rep_pct_aligned_with_majority
0035666.eth,-0.7389209699609705,0.15802905706439466,1.4889584823990722,-1.4453675755084097,0.9272816157593176,63.058405807111335,0.25732598828403136,0.7043068181201796,-0.6602596836874376,-0.33618760124422753,-0.7235786512008647,0.7058834756521041
01meta.eth,0.94662588688723,-0.49099846628737054,0.9207851043262865,-0.0963096093913019,0.22641017930365423,0.05390304508942188,0.3324895275448912,-0.5372551366268071,1.55511182923769,-0.10528792964363172,0.4089968395812058,-1.7478113633509138
0vix-protocol.eth,-0.27187488493933765,0.9525253708473294,-0.7513538698169481,0.3146188003688492,-0.00638830912435778,-0.006863104325749542,0.3117770084815747,-0.094272631223571,0.8394629523114503,-0.2908887937962823,0.9835934856158896,-0.18129443903481904
0xgov.eth,-0.2425216300525464,0.2769761867082592,-0.12102229934594816,0.5069251223179416,-0.18170044941927765,-0.24100048448198044,0.008047265799488485,0.40360242374272814,-0.28097740957318834,0.3959340698145721,0.08607337509091989,0.20607514384494197
0xmetamask.eth,0.10834630053070292,-0.7602663072732174,-0.2963160466977924,0.3928935701544905,0.3702046025823447,0.7636653106194001,0.1230734183585927,-0.18000905042036264,0.3457924356773848,0.2620864937654429,0.6974274740722085,-0.6767461286064379
10b57e6da0.eth,-0.02241284442582175,0.4506796029941358,-0.4183947719498866,-0.5408679550924124,-0.8114124312309371,-0.2699722755249891,0.28168840143451745,0.27446214407636466,-0.2299558058959988,0.43095866619884005,0.4500850319871909,0.08536474060463027
1213.eth,-1.2146344441768846,2.3799476452440675,-4.119482785739802,-1.4813499598344553,1.2550556597618503,12.020519524546946,-1.9106612266261969,-1.4369385242742734,3.322331016201173,-0.06571797415531831,-0.7633133328821041,0.8767415519108479
14cat.eth,0.6634511840169544,-0.8042980036495766,0.10373588746352021,-0.7224286941574914,0.1802260047215815,2.888472185207995,-0.3192143980007925,-0.0859398331073387,0.7541697579126483,-0.21256000628366353,-0.139624611178405,-0.05283182841097751
161610.eth,-1.11670284690507,0.053254009720864935,-0.5900805148071134,-1.4808185038014638,1.1721303777989485,0.2576471338465342,-0.4441160589021885,0.1606544414628025,0.31369407966041507,-0.12403957924323046,0.2668532027964722,-0.5538730620980455
1inch.eth,0.24774240604737222,0.46300500867504985,-1.4572911855162956,0.48945401946402534,-0.2251982873299706,-0.10373032149136867,0.49475926021167704,0.32206115447066963,-0.13336583885157896,0.4218526772055611,0.5487745803533988,0.00034487422641094143
1todamoon.eth,-0.2017212168805961,-0.40351736135081206,0.31168552375224573,-0.5358120577502217,0.12683620735711537,0.639414016519481,-0.4700643287801224,-0.3213473527084841,0.9873946786297604,0.12119027241768282,0.2472949105414928,-1.0579673982518456
2021eth.eth,0.6955872862677834,-0.7889832934001736,0.021121292140197447,-1.4813499598344553,1.2550556597618503,1.9912866425608353,0.4030067005000808,-0.34679472519695964,0.8033189432360514,1.2964951243964022,1.559860822356085,-0.6836165319383856
4867.eth,-1.8681148074807516,2.3407940687929356,-5.288191894181908,-1.4813499598344553,1.2550556597618503,4.189400413790839,-1.9106612266261969,-2.3634019489009614,5.145987353931519,-0.33618760124422753,-0.7633133328821041,0.8767415519108479
51588.eth,0.5609606106214466,-0.4294732375389135,0.24552479210663533,-0.03513761124701573,-0.21011198710802775,0.23668039221467893,-1.5051371169700574,-0.8518631848622991,2.201504974860582,-0.013834212716387044,-0.5969542935889041,-0.7600092438476116
53231323.eth,0.06305290724908186,0.33892215362142286,-0.07066292327228359,0.26344179377597376,-0.38425555996402416,-0.19523593138372478,0.5784225551867009,0.028240016583484545,0.18832869788398315,0.4053147668968118,0.9193291614060798,-0.2722247368623826
551111155.eth,-1.9471078531246633,0.37192851010746253,-0.5396116845619314,-1.4813499598344553,1.2550556597618503,-0.09080105140069246,-1.3560063234485271,-0.5871656831305806,1.4977005030767419,-0.33618760124422753,-0.38061098465041354,-0.7869673926692424
5552.eth,-1.4145451454834157,2.3407940687929356,-5.288191894181908,-1.4813499598344553,1.2550556597618503,7.581250652236654,-1.9106612266261969,-2.0691461029896887,4.589049827139013,-0.33618760124422753,-0.7633133328821041,0.8767415519108479
691800.eth,0.6739164277480801,-0.08106611990879993,-0.4774767147804425,-1.4813499598344553,1.2550556597618503,1.4971326074490845,0.2621671091942331,-0.34863144538604335,0.9073059650592805,0.8743012688075242,1.056391429410184,-0.3719825464055067
721nftdao.eth,-0.4701340214333815,0.7889648522219571,-0.37890825630801855,-0.40418651581292736,-0.7363995365626741,-0.24942314435095075,0.5020876021966668,-0.3157194978668231,0.7507489036932555,0.1399397906158541,1.407838629501728,-0.35741651392081286
