space,pc1,pc2,cluster
ethip.eth,-0.18204574801763007,-1.1639546311236542,2
ethlizards.eth,-2.4641200426915977,0.7338720112643884,2
ethos-labs.eth,-2.2515461151831344,-0.6787479839734577,2
eulerdao.eth,-2.3502506610239196,-0.7685968751818598,2
evmaverick.eth,-2.4972294285241796,0.12231104103002832,2
extradao.eth,-2.0910299619311328,1.354280123737401,2
fabien.eth,-1.8312144488990811,0.7668487595311531,2
fantohmdao.eth,-2.323416522485932,-0.10136066714062253,2
fantomecosystem.eth,1.8010216378721426,-2.2171948066026945,2
fei.eth,-1.7022572009582495,-0.8332228031065306,2
ffdao.eth,-2.4743632217411533,-1.9365426890461537,2
figure1.eth,7.131522264884337,-0.09390056653607226,2
floki-inu.eth,-2.522240402891049,-1.4829720185910231,2
flygame.eth,-1.4863726260715568,3.323050862463675,2
forgottengov.eth,-2.482948070040793,0.8086126200400032,2
fortressdao.eth,-1.8734916078962975,0.22371282828480543,2
frax.eth,-1.3922230881172095,-0.046821954020948464,2
freerossdao.eth,-2.4369912611596702,-0.4525091315204909,2
friendswithbenefits.eth,-2.3875864103945528,-0.9928393021393846,2
fuse.eth,-2.0294029630886787,-0.407375616982508,2
futera.eth,-1.5777641588034865,5.1847452706337505,2
g-dao.eth,-2.3995856306598133,-1.5064450058744785,2
gasdao.eth,-1.7295858757466345,0.32525362825018533,2
gauges.aurafinance.eth,-2.2952252020845645,-0.9938648212884624,2
gbc-nft.eth,-2.5388900001223447,0.5532549934756412,2
gearbox.eth,-1.8210475331833926,-1.1634477019747556,2
gelato.eth,-2.5293952127048915,0.4212080071278246,2
genesisblocks.eth,-2.093237389204627,-0.8940224032210269,2
gitcoindao.eth,-2.136293419029962,-0.06938353927724039,2
glmrapes.eth,-1.6426422940740366,2.2906284063707414,2
gm365.eth,7.373444611706663,-0.15603740327765075,2
gmdao.eth,-2.2422239831713684,-0.2685620924374496,2
gmx.eth,-2.432160156652369,0.5745974722090843,2
gnars.eth,-1.978449572601753,-0.7646066517458163,2
gnosis.eth,-2.1052092585785935,-0.44534908879229673,2
