,voter_turnout_proxy,avg_voters_per_proposal,median_voters_per_proposal,mean_participation_count,std_participation_count,mean_robust_participation_vp,std_robust_participation_vp
voter_turnout_proxy,1.0,0.2042012719631457,0.292068700182928,1.0,0.5689849572260097,0.47470210653032974,-0.09032752271032778
avg_voters_per_proposal,0.2042012719631457,1.0,0.8826000519299849,0.2042012719631457,0.2609199750964568,0.10831729304904501,0.029160870616872583
median_voters_per_proposal,0.292068700182928,0.8826000519299849,1.0,0.292068700182928,0.18849218069758525,0.16887419209946117,-0.0198122813528596
mean_participation_count,1.0,0.2042012719631457,0.292068700182928,1.0,0.5689849572260096,0.47470210653032974,-0.0903275227103278
std_participation_count,0.5689849572260097,0.2609199750964568,0.18849218069758525,0.5689849572260096,1.0,0.042939559569653354,0.27953517711265674
mean_robust_participation_vp,0.47470210653032974,0.10831729304904501,0.16887419209946117,0.47470210653032974,0.042939559569653354,1.0,-0.6629033431656615
std_robust_participation_vp,-0.09032752271032778,0.029160870616872583,-0.0198122813528596,-0.0903275227103278,0.27953517711265674,-0.6629033431656615,1.0
