k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,22578.28100021086,0.9694058354836729,941.0121157231382,0.01875499079927108
3,8690.919940969525,0.8579787860203193,1565.4676705846075,0.3704871796821327
4,5721.900343403165,0.7149159003244466,1656.237780438525,0.45606680289879314
5,4392.8274636433325,0.5575373562662976,1646.8608158620475,0.5799406806086408
6,3838.7201851462028,0.2383354484565016,1516.5797991800403,0.9980716153886889
