space,kmeans_cluster,hierarchical_cluster
metfi.io,2,0
metislayer2.eth,2,0
metrox.eth,2,0
mintimerka.eth,0,0
mocana.eth,2,0
moonbeam-foundation.eth,2,0
moonwell-governance.eth,2,0
morpho.eth,2,0
mozaicfinance.eth,2,0
mstablegovernance.eth,2,0
mutantsdao.eth,2,0
muxvote.eth,2,0
myceliumgrowth.eth,2,0
nation3.eth,2,0
nftearthl2.eth,2,0
nftfinance.eth,2,0
nibajie.eth,2,0
noixaref.eth,2,0
o3dao.eth,2,0
officialoceandao.eth,2,0
olympusdao.eth,2,0
opcollective.eth,2,0
opencampusdao.eth,2,0
opiumprotocol.eth,2,0
optimismio.eth,2,0
orbapp.eth,2,0
origingov.eth,2,0
otterclam.eth,2,0
pancakebunny.eth,2,0
panda-dao.eth,2,0
pangolindex.eth,2,0
pantherprotocol.eth,2,0
paraswap-dao.eth,2,0
partydao.eth,2,0
people-dao.eth,2,0
phi-voting.eth,2,0
phonon.eth,2,0
pickle.eth,2,0
piedao.eth,2,0
planckcatdao.eth,2,0
planetfinance.eth,2,0
poh.eth,2,0
poktdao.eth,2,0
polygondaoo.eth,2,0
polyhedragovernance.eth,2,0
polymon.eth,2,0
pool.berkut.eth,2,0
poolpool.pooltogether.eth,2,0
pooltogether.eth,2,0
posttechdao.eth,0,2
pozoaxel.eth,2,0
ppyaa.eth,2,0
promdao.eth,2,0
pstakefinance.eth,2,0
pushdao.eth,2,0
pyme.eth,2,0
qhsky.eth,2,0
qidao.eth,2,0
qqgame.eth,2,0
quickvote.eth,2,0
radiantcapital.eth,2,0
rallygov.eth,2,0
rareships.eth,2,0
rarible.eth,2,0
rbn.eth,2,0
rdatadao.eth,2,0
revolutiondao-rld.eth,2,0
revotu.eth,2,0
rfrmdao.eth,2,0
richdaomoney.eth,2,0
richroad.eth,2,0
richroad.levdeviatkin.eth,2,0
rocketpool-dao.eth,2,0
romedaofi.eth,2,0
romerocpa.eth,2,0
rss3.eth,2,0
rugcommunity.eth,2,0
rusha.eth,2,0
safe.eth,2,0
safedoor.eth,2,0
sandboxdao.eth,2,0
saynotorug.eth,2,0
sdao.eth,2,0
seamlessprotocol.eth,2,0
serta.eth,2,0
shapeshiftdao.eth,2,0
sharkdao.eth,2,0
shellprotocol.eth,2,0
shiba-swap.eth,2,0
shrimpfund.eth,0,0
shutterdao0x36.eth,2,0
sidusheroesdao.eth,2,0
silofinance.eth,2,0
sismo.eth,2,0
skgame.eth,2,0
skvlldao.eth,2,0
snapshot.dcl.eth,2,0
sniperalex.eth,2,0
snxgov.eth,2,0
spartacusdao.eth,2,0
speraxdao.eth,2,0
spiritswap.eth,2,0
spookyswap.eth,2,0
staderdao.eth,2,0
stakedao.eth,2,0
stakewise.eth,2,0
starknet.eth,2,0
stp.eth,2,0
strayshot.eth,2,0
streamr.eth,2,0
superfluid.eth,2,0
superraredao.eth,2,0
supported.eth,2,0
sushigov.eth,2,0
svs.eth,2,0
swaprsnapshot.eth,2,0
swpr.eth,2,0
symbiosisdao.eth,2,0
synapseprotocol.eth,2,0
tcgverse.eth,2,0
theadmiraldao.eth,2,0
thegooddao.eth,2,0
thegurudao.eth,2,0
theheaddao.eth,2,0
thelanddaoprop.eth,2,0
theopendao.eth,2,0
tokenlon.eth,2,0
tomoondao.eth,2,0
toniya.eth,2,0
tracer.eth,2,0
treasuregaming.eth,2,0
trustwallet,2,0
umamidao.eth,2,0
undeadpastelnft.eth,2,0
uniswapgovernance.eth,2,0
unlock-protocol.eth,2,0
usebraintrust.eth,2,0
vapornodes.eth,2,0
vaultcraft-snapshot.eth,2,0
venus-xvs.eth,2,0
vestafinance.eth,2,0
veyfi.eth,2,0
vnetwork.eth,2,0
voltagefinance.eth,2,0
vote-perp.eth,2,0
vote.airswap.eth,2,0
vote.hopr.eth,2,0
vote.vitadao.eth,2,0
wagdie.eth,2,0
wdswap.eth,2,0
whitelist1.eth,2,0
wumingqi.eth,2,0
xborg.eth,2,0
xdaistake.eth,2,0
xec666.eth,2,0
xingzepeng.eth,2,0
xmyzz.eth,2,0
xole.eth,2,0
xtarot.eth,2,0
xwg.eth,2,0
yakherd.eth,2,0
yam.eth,2,0
ybaby.eth,2,0
yearn,2,0
yequ.eth,2,0
yokaiswap.eth,2,0
younghwang.eth,2,0
zerozero.eth,2,0
zhudapang3.eth,2,0
zhulindong.eth,2,0
zirouziyu.eth,2,0
zkapedao.eth,1,1
zkaptos.eth,2,0
zkswapfinance.eth,2,0
zksyncdao.eth,2,0
zkware.eth,2,0
zlexdl.eth,2,0
